order_id,product_id,customer_id,quantity,unit_price,line_total,discount_pct,shipping_cost,currency,order_status,payment_method,sales_channel,order_date,shipping_date
207,93966,6774,5,38.36,191.8,0.1,37.55,USD,Shipped,Bank Transfer,Field Sales,2024-01-01,2024-01-06
377,22713,3039,2,76.86,153.72,,25.96,USD,Delivered,Credit Card,Online,2024-01-01,2024-01-05
1134,89498,5478,2,65.97,131.94,,1.72,USD,Shipped,Credit Card,Partner,2024-01-01,2024-01-08
1928,71410,1798,5,142.71,713.55,,4.1,USD,Pending,Credit Card,Online,2024-01-01,2024-01-07
2576,50555,2750,5,17.55,87.75,,4.44,USD,Delivered,Bank Transfer,Online,2024-01-01,2024-01-04
2693,38746,5918,2,20.81,41.62,0.1,9.26,USD,Shipped,Credit Card,Partner,2024-01-01,2024-01-03
3059,96761,8682,4,29.47,117.88,0.1,33.49,USD,Cancelled,Bank Transfer,Online,2024-01-01,2024-01-04
4946,89665,6673,3,55.87,167.61,0.2,6.68,USD,Delivered,Credit Card,Marketplace,2024-01-01,2024-01-01
4999,38122,7426,3,18.7,56.1,0.2,25.31,USD,Pending,Credit Card,Online,2024-01-01,2024-01-01
8657,64337,1572,2,60.94,121.88,0.05,30.94,USD,Pending,Invoice,Field Sales,2024-01-01,2024-01-06
8761,96319,7816,3,135.0,405.0,0.1,17.32,USD,Returned,Credit Card,Partner,2024-01-01,2024-01-03
8762,13718,4978,3,115.9,347.7,,28.02,USD,Shipped,Bank Transfer,Partner,2024-01-01,2024-01-03
9072,31334,5893,5,35.37,176.85,,33.02,USD,Shipped,PayPal,Field Sales,2024-01-01,2024-01-08
9630,13514,4185,1,63.91,63.91,0.05,6.3,USD,Shipped,Bank Transfer,Online,2024-01-01,2024-01-07
9657,67161,9309,5,88.62,443.1,0.15,30.07,USD,Delivered,Credit Card,Online,2024-01-01,2024-01-06
479,45548,1843,2,159.15,318.3,,23.65,USD,Cancelled,Credit Card,Online,2024-01-02,2024-01-08
898,88729,7922,4,74.31,297.24,0.05,2.34,USD,Cancelled,Credit Card,Marketplace,2024-01-02,2024-01-08
1054,41913,4185,2,5.37,10.74,,8.76,USD,Delivered,Credit Card,Online,2024-01-02,
1833,24306,7095,2,16.48,32.96,0.05,31.01,USD,Delivered,Credit Card,Online,2024-01-02,2024-01-05
2978,18688,4978,1,29.78,29.78,,2.27,USD,Delivered,Credit Card,Marketplace,2024-01-02,2024-01-07
3083,59746,9724,5,59.87,299.35,0.05,8.09,USD,Delivered,Bank Transfer,Field Sales,2024-01-02,2024-01-07
3450,90413,1826,3,128.23,384.69,0.05,11.32,USD,Cancelled,Invoice,Online,2024-01-02,2024-01-09
4174,55529,4874,1,202.9,202.9,0.05,23.35,USD,Delivered,PayPal,Online,2024-01-02,2024-01-03
5565,20142,7816,1,51.01,51.01,0.05,36.51,USD,Shipped,Credit Card,Online,2024-01-02,2024-01-07
6875,92848,8682,5,74.37,371.85,,29.49,USD,Delivered,Credit Card,Field Sales,2024-01-02,2024-01-09
9635,18701,4323,5,23.63,118.15,0.15,10.42,USD,Delivered,Bank Transfer,Partner,2024-01-02,2024-01-02
9880,42933,5478,2,49.2,98.4,0.2,28.12,USD,Pending,Credit Card,Online,2024-01-02,2024-01-03
9959,55604,7095,1,74.77,74.77,,38.99,USD,Cancelled,Invoice,Online,2024-01-02,2024-01-04
13,65062,6855,3,117.49,352.47,,18.43,USD,Delivered,Invoice,Online,2024-01-03,
444,40679,7241,1,69.71,69.71,0.2,3.25,USD,Cancelled,Bank Transfer,Field Sales,2024-01-03,2024-01-04
786,45999,9735,5,60.95,304.75,0.15,11.12,USD,Cancelled,Bank Transfer,Online,2024-01-03,2024-01-06
1142,92066,5893,4,77.71,310.84,,35.83,USD,Delivered,Bank Transfer,Online,2024-01-03,2024-01-05
